Date,Close,Open,Low,High,Volume
29/01/2013,260.35,275.35,258.35,275.46,"10,172,552"
30/01/2013,272.76,283,267.11,284.2,"13,081,805"
31/01/2013,265.50,271.04,263.6991,275.94,"6,775,977"
01/02/2013,265.00,268.93,262.8,268.93,"6,118,146"
04/02/2013,259.98,262.78,259.07,264.684,"3,723,793"
05/02/2013,266.89,262,261.46,268.03,"4,013,780"
06/02/2013,262.22,265.16,261.11,266.89,"2,772,204"
07/02/2013,260.23,264.1,255.11,264.1,"3,977,065"
08/02/2013,261.95,261.4,260.555,265.25,"3,879,628"
11/02/2013,257.21,263.2,256.6,263.25,"3,407,457"
12/02/2013,258.70,259.19,257,260.16,"2,944,730"
13/02/2013,269.47,261.53,260.3,269.96,"5,295,786"
14/02/2013,269.24,267.37,265.4,270.65,"3,464,080"
15/02/2013,265.09,267.63,263.11,268.92,"3,981,233"
19/02/2013,269.75,265.91,264.5,270.11,"2,856,410"
20/02/2013,266.41,270.2,266.371,274.3,"3,530,656"
21/02/2013,265.94,265.12,263.25,269.48,"3,638,795"
22/02/2013,265.42,266.62,261.61,267.11,"3,125,202"
25/02/2013,259.87,266.94,259.65,268.694,"3,032,709"
26/02/2013,259.36,260.89,255.73,262.04,"3,348,760"
27/02/2013,263.25,259.4,256.86,265.83,"2,908,410"
28/02/2013,264.27,261.81,260.63,267,"2,668,154"
01/03/2013,265.74,263.27,261.04,266.6,"2,958,799"
04/03/2013,273.11,265.36,264.14,273.3,"3,457,519"
05/03/2013,275.59,274,269.99,276.68,"3,688,583"
06/03/2013,273.79,275.76,271.832,276.489,"2,051,552"
07/03/2013,273.88,274.1,271.85,274.8,"1,939,787"
08/03/2013,274.19,275,271.5,275.44,"1,880,117"
11/03/2013,271.24,273.43,270.4,273.99,"1,905,076"
12/03/2013,274.13,271,270.3601,277.4,"3,246,856"
13/03/2013,275.10,275.24,272.64,276.5,"1,884,215"
14/03/2013,265.74,269.67,263.53,270,"5,227,305"
15/03/2013,261.82,264.98,260.05,267.26,"4,866,472"
18/03/2013,257.89,259.3,257.12,261.49,"2,721,496"
19/03/2013,256.41,258.4,252.62,259.5,"3,739,566"
20/03/2013,257.28,258.05,254.5501,259.76,"2,738,970"
21/03/2013,253.39,256.11,252.68,257,"2,806,446"
22/03/2013,257.75,254.55,252.07,257.77,"3,126,299"
25/03/2013,256.02,258.58,254.5,259.429,"2,515,058"
26/03/2013,260.31,257.05,256.28,261.48,"2,421,160"
27/03/2013,265.30,258.75,257.9,265.93,"2,874,924"
28/03/2013,266.49,265.82,264.06,267.375,"2,473,857"
01/04/2013,261.61,266.98,261.01,267.4,"2,525,200"
02/04/2013,263.32,262.4,260.55,265.89,"2,632,338"
03/04/2013,259.03,262.12,257.75,263.67,"2,414,484"
04/04/2013,259.08,259.23,256.12,260.41,"1,964,612"
05/04/2013,255.48,255.72,253.67,256.18,"2,558,157"
08/04/2013,258.95,255.92,255.63,259.679,"2,296,823"
09/04/2013,261.14,258.85,257,262.61,"2,158,332"
10/04/2013,264.77,261.78,259.32,265.98,"2,322,707"
11/04/2013,269.85,264.74,264.74,270.97,"3,092,065"
12/04/2013,272.87,270.12,267.02,273.27,"2,868,165"
15/04/2013,267.72,271.08,267.1,275.12,"3,325,919"
16/04/2013,272.34,269.31,268.06,272.8,"2,138,618"
17/04/2013,267.40,270.8,264.25,270.85,"3,135,291"
18/04/2013,259.42,266.81,256.6,266.9899,"3,138,006"
19/04/2013,260.32,258.16,257.5,262.88,"2,602,870"
22/04/2013,263.55,259.35,258.03,264.6,"2,119,351"
23/04/2013,268.90,264.5,264.5,269.87,"2,274,694"
24/04/2013,268.78,269.5,266.81,271.47,"1,855,081"
25/04/2013,274.70,271.53,270.5,275.8,"6,116,498"
26/04/2013,254.81,269.97,252.81,272.02,"14,035,877"
29/04/2013,249.74,254.9,249.15,257.01,"7,120,310"
30/04/2013,253.81,249.3701,248.56,254.68,"4,250,210"
01/05/2013,248.23,253.9,245.75,254.2,"4,392,202"
02/05/2013,252.55,248.94,245.78,252.93,"3,936,170"
03/05/2013,258.05,256.14,254.7,259.25,"3,514,674"
06/05/2013,255.72,258.09,253.4201,259.5,"2,349,545"
07/05/2013,257.73,256.31,252.9101,259.74,"3,134,069"
08/05/2013,258.68,256.87,255.334,260.295,"2,677,086"
09/05/2013,260.16,258.73,256.88,263.55,"2,769,255"
10/05/2013,263.63,260.88,260.21,263.65,"3,145,869"
13/05/2013,264.51,262.77,262,265.88,"2,149,498"
14/05/2013,268.33,264.5,264.028,269.4,"2,700,674"
15/05/2013,266.56,267.07,264.56,269.05,"2,721,687"
16/05/2013,264.12,265.96,263.85,268.43,"1,643,668"
17/05/2013,269.90,265.83,265,269.98,"2,528,227"
20/05/2013,267.63,269,266.5,271.79,"2,209,034"
21/05/2013,268.86,268.74,267.66,270.77,"1,741,466"
22/05/2013,262.96,267.39,260.8,267.59,"3,332,597"
23/05/2013,261.80,260.49,259.59,263.17,"2,007,811"
24/05/2013,261.74,259.85,258.34,261.93,"1,696,415"
28/05/2013,267.29,266.48,266,271.1,"3,471,096"
29/05/2013,265.53,265.46,264.844,268.25,"1,903,590"
30/05/2013,266.83,265.71,265.615,268.57,"1,668,469"
31/05/2013,269.20,266,265.94,271.91,"3,374,919"
03/06/2013,266.88,268.96,262.95,269.11,"2,545,284"
04/06/2013,265.70,267,263.02,268.88,"2,088,972"
05/06/2013,267.17,265.81,265.02,271.66,"3,512,867"
06/06/2013,267.83,267.75,264.21,270.5,"2,476,368"
07/06/2013,276.87,269.74,269.13,280.1,"4,632,539"
10/06/2013,281.07,276.68,275.24,282.47,"3,088,355"
11/06/2013,274.78,276,274.24,278.411,"3,098,845"
12/06/2013,271.67,276.6,270.45,276.8,"2,239,259"
13/06/2013,275.79,271.5,270.2901,276.8,"2,651,715"
14/06/2013,273.99,275,273.442,277.07,"2,150,843"
17/06/2013,278.06,276.35,275.65,280.2,"2,885,680"
18/06/2013,281.76,279.08,278.11,282.91,"2,147,649"
19/06/2013,278.16,281.26,277.87,283.34,"2,828,375"
20/06/2013,273.44,275.14,272.39,278.6,"2,985,196"
21/06/2013,273.36,274.57,269.79,275.8399,"4,202,558"
24/06/2013,270.61,271.29,265,273.16,"3,866,168"
25/06/2013,272.09,272.3,269,273.47,"2,452,910"
26/06/2013,277.57,273.98,273.5001,277.98,"3,029,816"
27/06/2013,277.55,279.18,274.54,280.2,"2,520,422"
28/06/2013,277.69,276.19,276.19,279.83,"3,193,515"
01/07/2013,282.10,279,277.16,283.29,"2,890,065"
02/07/2013,283.73,281.04,280.59,286.58,"3,238,618"
03/07/2013,284.03,282,282,285.4,"1,380,205"
05/07/2013,285.88,285,282.07,286.3799,"1,985,923"
08/07/2013,290.59,286.42,286.14,291.67,"3,047,197"
09/07/2013,291.53,291,288.01,292.57,"2,775,516"
10/07/2013,292.33,291.41,289.4,293.34,"1,810,122"
11/07/2013,299.66,294.99,292.1,300.69,"4,007,601"
12/07/2013,307.55,298.69,298.5,307.55,"4,543,264"
15/07/2013,306.57,307.27,304.35,307.99,"2,245,687"
16/07/2013,306.87,307.3,305.5119,309.39,"2,660,597"
17/07/2013,308.69,306.97,305.69,308.8,"2,031,626"
18/07/2013,304.11,306.27,301.87,306.3408,"3,064,359"
19/07/2013,305.23,304.39,301.91,305.79,"2,973,181"
22/07/2013,303.48,309.25,302,309.25,"2,522,023"
23/07/2013,301.06,303.16,300.56,305.06,"1,999,624"
24/07/2013,298.94,303.02,298.04,303.84,"2,002,745"
25/07/2013,303.40,299,296.75,304.5,"5,484,465"
26/07/2013,312.01,299.55,295.55,313.62,"8,819,755"
29/07/2013,306.10,311.07,305.9,313,"3,213,115"
30/07/2013,302.41,307.72,301.57,309.7833,"3,053,775"
31/07/2013,301.22,303.91,301,305.15,"1,891,514"
01/08/2013,305.57,303.08,298.905,306.21,"2,971,659"
02/08/2013,304.21,304.63,301.5,305.33,"2,508,358"
05/08/2013,300.99,303.4,298.3,303.62,"2,233,258"
06/08/2013,300.75,300.51,297.52,301.36,"1,849,796"
07/08/2013,296.91,300.15,296.15,300.99,"1,963,110"
08/08/2013,295.74,298.52,292.5501,298.52,"2,346,335"
09/08/2013,297.26,295.68,294.2987,299.27,"1,950,386"
12/08/2013,296.69,295.79,295.26,299.08,"1,504,625"
13/08/2013,293.97,295.88,290.67,296.37,"2,355,093"
14/08/2013,291.34,294.29,290.54,294.29,"1,415,476"
15/08/2013,286.47,288.79,285.15,289.3,"2,261,493"
16/08/2013,284.82,286.55,284.5,288.33,"2,423,056"
19/08/2013,285.57,285.19,283.48,289.56,"2,479,612"
20/08/2013,287.09,285.88,285.74,289.515,"1,586,236"
21/08/2013,284.57,285.09,283.83,288.5,"1,816,344"
22/08/2013,289.73,284.8,284.8,289.87,"1,422,672"
23/08/2013,290.01,291.21,287.9,291.5,"1,968,285"
26/08/2013,286.21,290.43,285.6207,291.0499,"1,718,213"
27/08/2013,280.93,283.87,279.74,285.28,"2,475,991"
28/08/2013,281.58,280.36,279.33,283,"1,457,461"
29/08/2013,283.98,281.45,280,285.98,"1,566,544"
30/08/2013,280.98,284.59,280,284.87,"1,534,706"
03/09/2013,288.80,284.73,284.17,291.39,"2,898,422"
04/09/2013,293.64,288.33,287.58,295.23,"2,439,351"
05/09/2013,294.10,293.63,292.71,297,"1,819,790"
06/09/2013,295.86,295.33,290.8,298.88,"2,293,345"
09/09/2013,299.71,297.22,296.6,299.96,"1,646,244"
10/09/2013,300.36,300.55,297.22,301,"1,781,037"
11/09/2013,299.64,298.91,297.84,301.86,"1,745,625"
12/09/2013,298.86,299.39,297.661,302,"1,606,393"
13/09/2013,297.92,300.14,296.201,300.22,"1,350,645"
16/09/2013,296.06,299.82,295.26,301,"1,818,400"
17/09/2013,304.17,297.63,296.0101,304.65,"2,297,381"
18/09/2013,312.03,304.06,302.91,312.74,"2,946,988"
19/09/2013,312.06,313.77,311.04,314.54,"2,350,946"
20/09/2013,316.34,312.54,312.41,320.57,"5,306,003"
23/09/2013,311.49,314.01,308.771,315.9,"1,885,197"
24/09/2013,314.13,312.43,311.28,318.0799,"2,033,546"
25/09/2013,312.65,314.53,310.75,316.71,"2,010,249"
26/09/2013,318.12,313.9,313.26,319.37,"1,990,982"
27/09/2013,316.01,316.92,313.35,317.21,"1,658,435"
30/09/2013,312.64,313.41,311.06,315.31,"1,625,844"
01/10/2013,320.95,314.22,313.65,321,"2,398,999"
02/10/2013,320.51,318.04,317.52,321.73,"2,224,623"
03/10/2013,314.76,320.39,313.02,322.92,"2,679,440"
04/10/2013,319.04,315.13,312.62,319.2,"1,814,976"
